attack_type,security_tools_used,industry
Cross-Site Scripting,WAF,Manufacturing
DDoS,CDN Scrubbing,Technology
SQL Injection,WAF,Manufacturing
Supply Chain Compromise,IDS,Education
Phishing,Email Filtering,Government
Brute Force,Account Lockout,Government
Phishing,MFA,Technology
SQL Injection,Database Firewall,Government
Phishing,DMARC,Finance
Credential Stuffing,Account Lockout,Manufacturing
Credential Stuffing,MFA,Manufacturing
Phishing,Email Filtering,Energy
SQL Injection,Database Firewall,Education
Ransomware,EDR,Retail
Phishing,SIEM,Healthcare
Business Email Compromise,MFA,Education
Phishing,DMARC,Education
Business Email Compromise,MFA,Retail
Ransomware,Antivirus,Government
DDoS,CDN Scrubbing,Manufacturing
Brute Force,SIEM,Government
DDoS,DDoS Mitigation,Education
Ransomware,Antivirus,Retail
Ransomware,Offline Backups,Transportation
Insider Threat,IDS,Manufacturing
Ransomware,SIEM,Manufacturing
Ransomware,EDR,Utilities
DDoS,CDN Scrubbing,Education
Business Email Compromise,MFA,Healthcare
DDoS,DDoS Mitigation,Education
Phishing,MFA,Manufacturing
Credential Stuffing,Account Lockout,Technology
Ransomware,EDR,Manufacturing
Ransomware,Offline Backups,Education
Malware,EDR,Utilities
Ransomware,Antivirus,Manufacturing
Phishing,Email Filtering,Education
Brute Force,Account Lockout,Manufacturing
Phishing,DMARC,Transportation
Cross-Site Scripting,Content Security Policy,Education
Ransomware,EDR,Energy
Phishing,Email Filtering,Manufacturing
Ransomware,Antivirus,Healthcare
DDoS,CDN Scrubbing,Finance
Phishing,Email Filtering,Technology
Malware,Antivirus,Technology
Ransomware,Offline Backups,Retail
DDoS,WAF,Manufacturing
Business Email Compromise,Email Filtering,Retail
Phishing,IDS,Manufacturing
Phishing,MFA,Healthcare
Phishing,MFA,Finance
Zero-Day Exploit,IDS,Retail
Credential Stuffing,Account Lockout,Healthcare
Ransomware,EDR,Healthcare
Phishing,MFA,Government
DDoS,CDN Scrubbing,Finance
Business Email Compromise,Email Filtering,Healthcare
Ransomware,Antivirus,Finance
Ransomware,Antivirus,Manufacturing
SQL Injection,Database Firewall,Technology
Malware,Antivirus,Government
DDoS,DDoS Mitigation,Education
Brute Force,Account Lockout,Manufacturing
SQL Injection,SIEM,Retail
Phishing,Email Filtering,Manufacturing
Ransomware,Antivirus,Government
Phishing,Email Filtering,Energy
Credential Stuffing,Account Lockout,Education
Ransomware,EDR,Manufacturing
DDoS,Firewall,Manufacturing
Brute Force,MFA,Technology
Credential Stuffing,MFA,Healthcare
SQL Injection,WAF,Technology
Zero-Day Exploit,EDR,Manufacturing
Credential Stuffing,MFA,Government
Phishing,Email Filtering,Retail
Malware,EDR,Technology
DDoS,CDN Scrubbing,Retail
Ransomware,EDR,Healthcare
Ransomware,EDR,Finance
Phishing,MFA,Technology
Phishing,DMARC,Healthcare
Phishing,MFA,Manufacturing
DDoS,Firewall,Healthcare
Credential Stuffing,Account Lockout,Technology
SQL Injection,WAF,Healthcare
Brute Force,Account Lockout,Utilities
Malware,EDR,Manufacturing
DDoS,CDN Scrubbing,Technology
Phishing,Email Filtering,Retail
Phishing,IDS,Healthcare
DDoS,WAF,Finance
Phishing,Email Filtering,Retail
Phishing,Email Filtering,Transportation
Business Email Compromise,MFA,Finance
DDoS,CDN Scrubbing,Government
Ransomware,EDR,Energy
Phishing,DMARC,Healthcare
Credential Stuffing,MFA,Technology
Phishing,Email Filtering,Energy
DDoS,WAF,Retail
Business Email Compromise,Email Filtering,Manufacturing
Brute Force,MFA,Education
DDoS,DDoS Mitigation,Technology
Phishing,SIEM,Retail
Business Email Compromise,Email Filtering,Healthcare
Malware,EDR,Finance
Ransomware,EDR,Technology
Phishing,MFA,Manufacturing
Cross-Site Scripting,WAF,Technology
Supply Chain Compromise,EDR,Healthcare
Malware,Antivirus,Finance
Credential Stuffing,MFA,Transportation
Ransomware,Antivirus,Government
Ransomware,EDR,Education
DDoS,CDN Scrubbing,Finance
Brute Force,SIEM,Manufacturing
Phishing,DMARC,Healthcare
Ransomware,Offline Backups,Technology
Brute Force,Account Lockout,Technology
SQL Injection,WAF,Technology
SQL Injection,WAF,Education
Credential Stuffing,MFA,Manufacturing
Ransomware,Antivirus,Healthcare
DDoS,DDoS Mitigation,Transportation
Zero-Day Exploit,SIEM,Finance
Zero-Day Exploit,EDR,Technology
Credential Stuffing,MFA,Healthcare
Phishing,MFA,Technology
Credential Stuffing,Account Lockout,Energy
Ransomware,SIEM,Utilities
Credential Stuffing,MFA,Healthcare
Business Email Compromise,DMARC,Energy
Phishing,IDS,Manufacturing
DDoS,DDoS Mitigation,Government
Business Email Compromise,SIEM,Energy
Malware,Antivirus,Healthcare
Malware,SIEM,Retail
SQL Injection,WAF,Transportation
DDoS,CDN Scrubbing,Retail
Insider Threat,SIEM,Finance
Phishing,DMARC,Manufacturing
Malware,Antivirus,Healthcare
Credential Stuffing,Account Lockout,Healthcare
Ransomware,Offline Backups,Manufacturing
SQL Injection,WAF,Manufacturing
DDoS,Firewall,Education
SQL Injection,SIEM,Manufacturing
Phishing,MFA,Energy
DDoS,CDN Scrubbing,Transportation
Phishing,Email Filtering,Technology
Ransomware,Antivirus,Healthcare
Credential Stuffing,MFA,Government
DDoS,CDN Scrubbing,Utilities
Brute Force,MFA,Manufacturing
Phishing,SIEM,Healthcare
Malware,SIEM,Government
Brute Force,Account Lockout,Manufacturing
SQL Injection,SIEM,Technology
Brute Force,Account Lockout,Manufacturing
DDoS,Firewall,Energy
Malware,EDR,Healthcare
Phishing,MFA,Finance
Phishing,MFA,Finance
Malware,Antivirus,Education
Ransomware,Offline Backups,Manufacturing
SQL Injection,WAF,Technology
Phishing,DMARC,Education
Phishing,Email Filtering,Finance
Phishing,MFA,Transportation
Credential Stuffing,MFA,Healthcare
Phishing,Email Filtering,Technology
Ransomware,EDR,Energy
Phishing,DMARC,Technology
Credential Stuffing,SIEM,Healthcare
Phishing,IDS,Manufacturing
DDoS,Firewall,Energy
Credential Stuffing,SIEM,Manufacturing
Credential Stuffing,MFA,Manufacturing
Credential Stuffing,MFA,Technology
Phishing,SIEM,Education
Business Email Compromise,Email Filtering,Finance
Malware,EDR,Technology
Ransomware,EDR,Education
Phishing,DMARC,Healthcare
DDoS,DDoS Mitigation,Manufacturing
SQL Injection,SIEM,Technology
Credential Stuffing,MFA,Retail
Ransomware,Offline Backups,Education
Phishing,MFA,Retail
Malware,Antivirus,Finance
Ransomware,Antivirus,Government
SQL Injection,WAF,Healthcare
Phishing,MFA,Education
Brute Force,Account Lockout,Finance
SQL Injection,WAF,Finance
Brute Force,Account Lockout,Retail
SQL Injection,WAF,Manufacturing
Zero-Day Exploit,SIEM,Retail
Business Email Compromise,MFA,Manufacturing
Credential Stuffing,MFA,Finance
Phishing,DMARC,Energy
Malware,IDS,Manufacturing
Ransomware,EDR,Technology
Ransomware,Offline Backups,Retail
Cross-Site Scripting,WAF,Retail
Business Email Compromise,MFA,Manufacturing
DDoS,DDoS Mitigation,Healthcare
Phishing,Email Filtering,Manufacturing
DDoS,CDN Scrubbing,Government
DDoS,Firewall,Energy
Malware,Antivirus,Finance
SQL Injection,Database Firewall,Utilities
DDoS,DDoS Mitigation,Manufacturing
Phishing,SIEM,Retail
Credential Stuffing,MFA,Healthcare
Phishing,Email Filtering,Healthcare
Business Email Compromise,MFA,Manufacturing
Zero-Day Exploit,EDR,Manufacturing
Brute Force,SIEM,Technology
Ransomware,Antivirus,Finance
DDoS,DDoS Mitigation,Technology
Credential Stuffing,MFA,Utilities
Brute Force,Account Lockout,Government
Cross-Site Scripting,Content Security Policy,Manufacturing
Brute Force,MFA,Manufacturing
Brute Force,Account Lockout,Education
Credential Stuffing,Account Lockout,Finance
Ransomware,EDR,Utilities
DDoS,WAF,Manufacturing
Phishing,DMARC,Education
Phishing,DMARC,Retail
Ransomware,Offline Backups,Technology
Phishing,Email Filtering,Healthcare
Malware,IDS,Finance
Brute Force,SIEM,Retail
Credential Stuffing,MFA,Healthcare
Supply Chain Compromise,SIEM,Energy
Ransomware,EDR,Energy
Malware,EDR,Retail
Phishing,Email Filtering,Finance
Phishing,MFA,Education
DDoS,DDoS Mitigation,Technology
Brute Force,Account Lockout,Retail
Credential Stuffing,SIEM,Technology
Ransomware,Offline Backups,Healthcare
SQL Injection,SIEM,Education
Ransomware,EDR,Healthcare
Phishing,MFA,Retail
Malware,EDR,Healthcare
Brute Force,Account Lockout,Finance
Credential Stuffing,MFA,Government
Malware,EDR,Technology
SQL Injection,WAF,Technology
Ransomware,Antivirus,Finance
Malware,SIEM,Finance
DDoS,DDoS Mitigation,Finance
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,SIEM,Finance
DDoS,CDN Scrubbing,Government
Ransomware,SIEM,Government
Ransomware,Antivirus,Retail
Phishing,DMARC,Technology
Credential Stuffing,Account Lockout,Finance
Credential Stuffing,MFA,Government
DDoS,Firewall,Manufacturing
Ransomware,EDR,Technology
Phishing,Email Filtering,Technology
Cross-Site Scripting,Content Security Policy,Retail
Ransomware,Offline Backups,Government
DDoS,Firewall,Healthcare
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,EDR,Manufacturing
DDoS,CDN Scrubbing,Retail
Phishing,Email Filtering,Finance
Malware,SIEM,Manufacturing
Phishing,Email Filtering,Finance
Credential Stuffing,MFA,Government
Business Email Compromise,Email Filtering,Manufacturing
Malware,EDR,Healthcare
Ransomware,Antivirus,Healthcare
Business Email Compromise,Email Filtering,Retail
Ransomware,Offline Backups,Education
Phishing,Email Filtering,Manufacturing
DDoS,WAF,Energy
Business Email Compromise,Email Filtering,Technology
Malware,Antivirus,Energy
DDoS,DDoS Mitigation,Energy
Ransomware,Antivirus,Retail
Phishing,MFA,Healthcare
Ransomware,EDR,Manufacturing
Credential Stuffing,IDS,Manufacturing
DDoS,CDN Scrubbing,Healthcare
Phishing,Email Filtering,Government
SQL Injection,WAF,Retail
Phishing,Email Filtering,Finance
SQL Injection,Database Firewall,Manufacturing
Ransomware,Antivirus,Manufacturing
Ransomware,Antivirus,Education
Malware,IDS,Retail
Cross-Site Scripting,SIEM,Education
Zero-Day Exploit,Firewall,Finance
DDoS,CDN Scrubbing,Manufacturing
Credential Stuffing,IDS,Government
Phishing,Email Filtering,Utilities
Brute Force,Account Lockout,Finance
Malware,IDS,Manufacturing
Phishing,MFA,Retail
Phishing,Email Filtering,Government
Ransomware,EDR,Energy
Phishing,MFA,Government
Malware,EDR,Utilities
Brute Force,MFA,Technology
Phishing,DMARC,Government
Zero-Day Exploit,IDS,Government
Phishing,DMARC,Technology
Phishing,MFA,Education
Phishing,Email Filtering,Healthcare
DDoS,DDoS Mitigation,Retail
Supply Chain Compromise,EDR,Technology
Ransomware,Offline Backups,Healthcare
Phishing,Email Filtering,Manufacturing
Phishing,DMARC,Manufacturing
Supply Chain Compromise,SIEM,Healthcare
Phishing,MFA,Retail
Cross-Site Scripting,WAF,Technology
Phishing,Email Filtering,Government
Credential Stuffing,IDS,Utilities
Supply Chain Compromise,IDS,Manufacturing
SQL Injection,Database Firewall,Healthcare
Ransomware,Antivirus,Healthcare
Phishing,DMARC,Finance
DDoS,DDoS Mitigation,Government
SQL Injection,WAF,Healthcare
DDoS,WAF,Government
DDoS,CDN Scrubbing,Manufacturing
Phishing,MFA,Retail
Supply Chain Compromise,EDR,Energy
Malware,SIEM,Education
Credential Stuffing,SIEM,Technology
DDoS,CDN Scrubbing,Manufacturing
Cross-Site Scripting,SIEM,Finance
Cross-Site Scripting,Content Security Policy,Technology
Insider Threat,EDR,Retail
Phishing,Email Filtering,Finance
Ransomware,EDR,Manufacturing
Ransomware,Antivirus,Manufacturing
Phishing,MFA,Utilities
Ransomware,EDR,Technology
SQL Injection,WAF,Finance
Ransomware,EDR,Manufacturing
Malware,Antivirus,Manufacturing
DDoS,WAF,Finance
Credential Stuffing,MFA,Technology
DDoS,Firewall,Healthcare
Insider Threat,IDS,Energy
Brute Force,MFA,Education
Credential Stuffing,Account Lockout,Healthcare
Ransomware,Antivirus,Retail
Ransomware,Antivirus,Manufacturing
SQL Injection,SIEM,Manufacturing
Phishing,MFA,Manufacturing
Malware,Antivirus,Manufacturing
Phishing,DMARC,Technology
Business Email Compromise,Email Filtering,Healthcare
Ransomware,EDR,Healthcare
Cross-Site Scripting,Content Security Policy,Healthcare
SQL Injection,Database Firewall,Retail
DDoS,CDN Scrubbing,Education
Ransomware,Antivirus,Healthcare
Credential Stuffing,MFA,Healthcare
Malware,EDR,Manufacturing
Credential Stuffing,MFA,Utilities
Zero-Day Exploit,SIEM,Energy
DDoS,Firewall,Technology
Malware,EDR,Manufacturing
Ransomware,EDR,Finance
Ransomware,Offline Backups,Manufacturing
Phishing,SIEM,Manufacturing
DDoS,DDoS Mitigation,Technology
Credential Stuffing,Account Lockout,Retail
Malware,Antivirus,Government
Brute Force,MFA,Healthcare
Malware,Antivirus,Technology
Phishing,MFA,Government
DDoS,CDN Scrubbing,Utilities
DDoS,DDoS Mitigation,Education
Business Email Compromise,SIEM,Healthcare
Phishing,Email Filtering,Technology
Ransomware,SIEM,Education
DDoS,CDN Scrubbing,Finance
Ransomware,EDR,Manufacturing
Ransomware,EDR,Retail
Malware,IDS,Technology
Phishing,Email Filtering,Government
Credential Stuffing,Account Lockout,Education
DDoS,WAF,Technology
Phishing,DMARC,Technology
Ransomware,Antivirus,Technology
Business Email Compromise,Email Filtering,Technology
Phishing,MFA,Technology
Business Email Compromise,DMARC,Retail
SQL Injection,SIEM,Manufacturing
Phishing,Email Filtering,Energy
SQL Injection,WAF,Education
Ransomware,EDR,Manufacturing
Credential Stuffing,MFA,Manufacturing
Business Email Compromise,SIEM,Retail
Supply Chain Compromise,SIEM,Transportation
Cross-Site Scripting,Content Security Policy,Manufacturing
Supply Chain Compromise,IDS,Energy
Malware,Antivirus,Transportation
Credential Stuffing,IDS,Energy
Credential Stuffing,MFA,Finance
Credential Stuffing,MFA,Education
DDoS,CDN Scrubbing,Manufacturing
SQL Injection,WAF,Energy
Credential Stuffing,Account Lockout,Retail
Ransomware,Antivirus,Technology
Zero-Day Exploit,Firewall,Energy
Brute Force,MFA,Government
Credential Stuffing,Account Lockout,Government
Credential Stuffing,Account Lockout,Healthcare
Cross-Site Scripting,WAF,Finance
Business Email Compromise,Email Filtering,Technology
Ransomware,SIEM,Retail
Phishing,Email Filtering,Government
Phishing,DMARC,Retail
Cross-Site Scripting,Content Security Policy,Education
DDoS,Firewall,Manufacturing
Ransomware,Antivirus,Finance
Phishing,MFA,Finance
Phishing,IDS,Government
Phishing,MFA,Technology
Ransomware,EDR,Healthcare
Supply Chain Compromise,EDR,Healthcare
Cross-Site Scripting,WAF,Healthcare
SQL Injection,Database Firewall,Technology
SQL Injection,WAF,Retail
Phishing,Email Filtering,Technology
Phishing,MFA,Healthcare
Ransomware,SIEM,Manufacturing
Phishing,DMARC,Retail
Supply Chain Compromise,EDR,Manufacturing
SQL Injection,SIEM,Healthcare
Ransomware,EDR,Healthcare
Ransomware,Offline Backups,Manufacturing
Phishing,Email Filtering,Education
Brute Force,MFA,Manufacturing
Ransomware,Antivirus,Healthcare
Brute Force,MFA,Manufacturing
Credential Stuffing,MFA,Energy
SQL Injection,WAF,Education
Cross-Site Scripting,Content Security Policy,Finance
DDoS,DDoS Mitigation,Retail
DDoS,DDoS Mitigation,Energy
Phishing,MFA,Healthcare
Credential Stuffing,MFA,Finance
Credential Stuffing,MFA,Manufacturing
SQL Injection,Database Firewall,Healthcare
Cross-Site Scripting,WAF,Finance
Malware,SIEM,Healthcare
Phishing,Email Filtering,Manufacturing
Business Email Compromise,MFA,Manufacturing
Malware,Antivirus,Energy
Cross-Site Scripting,WAF,Government
Cross-Site Scripting,SIEM,Government
Credential Stuffing,MFA,Retail
SQL Injection,WAF,Manufacturing
Credential Stuffing,MFA,Government
Ransomware,EDR,Finance
Brute Force,MFA,Manufacturing
Ransomware,Antivirus,Manufacturing
Malware,Antivirus,Healthcare
Phishing,Email Filtering,Government
Credential Stuffing,MFA,Finance
DDoS,CDN Scrubbing,Finance
Brute Force,SIEM,Utilities
Phishing,Email Filtering,Finance
Brute Force,MFA,Technology
Ransomware,EDR,Technology
Ransomware,EDR,Healthcare
Ransomware,EDR,Healthcare
Phishing,IDS,Manufacturing
Cross-Site Scripting,WAF,Healthcare
Malware,EDR,Manufacturing
DDoS,DDoS Mitigation,Manufacturing
DDoS,WAF,Finance
Malware,Antivirus,Healthcare
Phishing,Email Filtering,Manufacturing
Supply Chain Compromise,EDR,Finance
Malware,Antivirus,Manufacturing
Phishing,DMARC,Finance
Ransomware,Offline Backups,Technology
Cross-Site Scripting,WAF,Healthcare
DDoS,DDoS Mitigation,Manufacturing
SQL Injection,WAF,Healthcare
Phishing,DMARC,Government
Credential Stuffing,MFA,Technology
SQL Injection,WAF,Retail
Phishing,Email Filtering,Energy
Phishing,Email Filtering,Energy
Ransomware,Antivirus,Energy
Business Email Compromise,SIEM,Manufacturing
Malware,IDS,Retail
Malware,Antivirus,Manufacturing
DDoS,Firewall,Retail
Phishing,DMARC,Technology
Phishing,Email Filtering,Transportation
Phishing,SIEM,Technology
Business Email Compromise,Email Filtering,Energy
Insider Threat,IDS,Healthcare
Brute Force,Account Lockout,Manufacturing
Credential Stuffing,MFA,Government
Phishing,Email Filtering,Retail
Zero-Day Exploit,EDR,Manufacturing
SQL Injection,Database Firewall,Healthcare
SQL Injection,WAF,Education
Phishing,MFA,Technology
Credential Stuffing,MFA,Finance
Brute Force,Account Lockout,Manufacturing
DDoS,Firewall,Manufacturing
Credential Stuffing,Account Lockout,Government
Phishing,MFA,Healthcare
Ransomware,Offline Backups,Government
DDoS,CDN Scrubbing,Manufacturing
Cross-Site Scripting,Content Security Policy,Manufacturing
Ransomware,Antivirus,Technology
Cross-Site Scripting,WAF,Technology
Phishing,MFA,Transportation
Ransomware,Offline Backups,Manufacturing
DDoS,CDN Scrubbing,Finance
Ransomware,Antivirus,Energy
Phishing,MFA,Healthcare
SQL Injection,WAF,Retail
Brute Force,Account Lockout,Government
Ransomware,SIEM,Healthcare
DDoS,CDN Scrubbing,Government
SQL Injection,WAF,Transportation
Insider Threat,SIEM,Healthcare
DDoS,WAF,Manufacturing
Credential Stuffing,MFA,Education
Brute Force,Account Lockout,Manufacturing
Ransomware,EDR,Manufacturing
SQL Injection,Database Firewall,Technology
DDoS,CDN Scrubbing,Retail
Brute Force,Account Lockout,Transportation
DDoS,CDN Scrubbing,Finance
DDoS,DDoS Mitigation,Government
Brute Force,MFA,Healthcare
Ransomware,EDR,Retail
Phishing,MFA,Healthcare
Ransomware,Antivirus,Energy
Phishing,DMARC,Technology
Credential Stuffing,MFA,Government
Brute Force,Account Lockout,Technology
Malware,EDR,Finance
SQL Injection,WAF,Retail
Ransomware,Antivirus,Healthcare
Cross-Site Scripting,WAF,Healthcare
Phishing,DMARC,Healthcare
DDoS,CDN Scrubbing,Technology
Ransomware,EDR,Manufacturing
SQL Injection,Database Firewall,Utilities
SQL Injection,Database Firewall,Healthcare
Phishing,Email Filtering,Technology
SQL Injection,Database Firewall,Healthcare
Phishing,Email Filtering,Technology
Phishing,MFA,Education
Supply Chain Compromise,SIEM,Retail
Phishing,MFA,Finance
SQL Injection,WAF,Retail
Credential Stuffing,MFA,Finance
Malware,SIEM,Healthcare
Ransomware,EDR,Healthcare
Brute Force,Account Lockout,Technology
Ransomware,Antivirus,Government
Phishing,Email Filtering,Manufacturing
Zero-Day Exploit,IDS,Technology
Phishing,DMARC,Manufacturing
Phishing,Email Filtering,Retail
Cross-Site Scripting,WAF,Healthcare
Malware,EDR,Healthcare
Phishing,DMARC,Technology
Credential Stuffing,MFA,Technology
Phishing,MFA,Finance
Ransomware,Offline Backups,Manufacturing
DDoS,Firewall,Energy
Ransomware,EDR,Finance
Ransomware,EDR,Finance
Malware,Antivirus,Healthcare
SQL Injection,Database Firewall,Manufacturing
Cross-Site Scripting,WAF,Finance
Phishing,MFA,Technology
Ransomware,EDR,Technology
Brute Force,Account Lockout,Finance
DDoS,Firewall,Retail
Phishing,Email Filtering,Finance
Phishing,DMARC,Technology
Cross-Site Scripting,WAF,Utilities
Malware,Antivirus,Finance
Brute Force,Account Lockout,Healthcare
Ransomware,Antivirus,Healthcare
Credential Stuffing,MFA,Technology
Ransomware,Offline Backups,Manufacturing
Ransomware,Offline Backups,Manufacturing
Phishing,Email Filtering,Finance
SQL Injection,WAF,Technology
SQL Injection,WAF,Energy
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,EDR,Retail
Zero-Day Exploit,IDS,Retail
Phishing,MFA,Energy
Malware,Antivirus,Energy
Malware,Antivirus,Utilities
Phishing,MFA,Manufacturing
Phishing,MFA,Healthcare
Ransomware,EDR,Transportation
DDoS,CDN Scrubbing,Energy
Credential Stuffing,IDS,Energy
Brute Force,Account Lockout,Finance
SQL Injection,WAF,Transportation
Phishing,Email Filtering,Technology
DDoS,CDN Scrubbing,Healthcare
Malware,EDR,Utilities
Phishing,MFA,Healthcare
Brute Force,MFA,Education
Cross-Site Scripting,WAF,Technology
Phishing,MFA,Government
Ransomware,Antivirus,Technology
Insider Threat,IDS,Finance
SQL Injection,WAF,Education
Cross-Site Scripting,Content Security Policy,Government
Malware,SIEM,Energy
Phishing,DMARC,Technology
Malware,Antivirus,Manufacturing
DDoS,WAF,Education
Ransomware,EDR,Utilities
Ransomware,Antivirus,Healthcare
Phishing,MFA,Education
Phishing,Email Filtering,Finance
Zero-Day Exploit,Firewall,Technology
SQL Injection,Database Firewall,Manufacturing
Phishing,SIEM,Energy
DDoS,Firewall,Utilities
SQL Injection,SIEM,Healthcare
Malware,SIEM,Manufacturing
Business Email Compromise,DMARC,Healthcare
Credential Stuffing,MFA,Education
SQL Injection,Database Firewall,Energy
Ransomware,Offline Backups,Technology
Credential Stuffing,MFA,Energy
SQL Injection,WAF,Healthcare
Ransomware,EDR,Finance
Phishing,DMARC,Retail
Brute Force,MFA,Manufacturing
Malware,Antivirus,Manufacturing
Malware,Antivirus,Manufacturing
Phishing,Email Filtering,Utilities
SQL Injection,Database Firewall,Technology
Malware,Antivirus,Healthcare
Phishing,Email Filtering,Healthcare
Ransomware,EDR,Transportation
Ransomware,Antivirus,Manufacturing
Cross-Site Scripting,SIEM,Education
Ransomware,Antivirus,Finance
Credential Stuffing,SIEM,Finance
Malware,EDR,Healthcare
Malware,Antivirus,Manufacturing
Credential Stuffing,SIEM,Energy
DDoS,DDoS Mitigation,Finance
Malware,EDR,Manufacturing
Brute Force,Account Lockout,Retail
Phishing,MFA,Technology
Brute Force,MFA,Technology
Credential Stuffing,Account Lockout,Manufacturing
Brute Force,SIEM,Retail
Supply Chain Compromise,SIEM,Retail
Ransomware,Antivirus,Transportation
Malware,EDR,Manufacturing
SQL Injection,WAF,Transportation
Credential Stuffing,Account Lockout,Technology
Cross-Site Scripting,SIEM,Manufacturing
Supply Chain Compromise,IDS,Government
Brute Force,MFA,Technology
Malware,EDR,Manufacturing
Ransomware,EDR,Manufacturing
SQL Injection,WAF,Transportation
Malware,EDR,Retail
Malware,Antivirus,Transportation
Phishing,MFA,Government
Phishing,Email Filtering,Retail
Phishing,Email Filtering,Manufacturing
DDoS,WAF,Technology
SQL Injection,WAF,Healthcare
Malware,Antivirus,Manufacturing
Malware,EDR,Finance
Phishing,MFA,Healthcare
Malware,Antivirus,Transportation
Phishing,DMARC,Manufacturing
SQL Injection,SIEM,Manufacturing
Phishing,Email Filtering,Retail
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,EDR,Finance
Phishing,SIEM,Energy
Brute Force,MFA,Manufacturing
Phishing,MFA,Manufacturing
Ransomware,EDR,Transportation
Credential Stuffing,Account Lockout,Energy
Credential Stuffing,MFA,Healthcare
Phishing,MFA,Technology
Brute Force,Account Lockout,Manufacturing
Ransomware,Antivirus,Energy
Phishing,Email Filtering,Manufacturing
Phishing,Email Filtering,Energy
Phishing,DMARC,Healthcare
Phishing,Email Filtering,Manufacturing
Ransomware,Offline Backups,Healthcare
Phishing,DMARC,Finance
Credential Stuffing,Account Lockout,Education
Credential Stuffing,IDS,Manufacturing
Phishing,DMARC,Manufacturing
Credential Stuffing,MFA,Finance
DDoS,CDN Scrubbing,Manufacturing
Phishing,Email Filtering,Healthcare
Malware,Antivirus,Technology
Brute Force,MFA,Technology
Malware,Antivirus,Retail
Business Email Compromise,Email Filtering,Healthcare
Malware,Antivirus,Healthcare
Credential Stuffing,MFA,Technology
Brute Force,MFA,Technology
Ransomware,EDR,Retail
Ransomware,Antivirus,Manufacturing
Phishing,Email Filtering,Manufacturing
Phishing,MFA,Manufacturing
Cross-Site Scripting,WAF,Finance
DDoS,DDoS Mitigation,Manufacturing
SQL Injection,WAF,Manufacturing
Phishing,Email Filtering,Government
Malware,Antivirus,Utilities
Credential Stuffing,MFA,Manufacturing
DDoS,WAF,Manufacturing
DDoS,CDN Scrubbing,Finance
Malware,EDR,Education
Malware,IDS,Finance
Credential Stuffing,Account Lockout,Technology
Phishing,Email Filtering,Energy
Phishing,DMARC,Government
Zero-Day Exploit,Firewall,Energy
Ransomware,Antivirus,Healthcare
Ransomware,Antivirus,Retail
Malware,Antivirus,Manufacturing
Phishing,MFA,Technology
Phishing,Email Filtering,Energy
Phishing,MFA,Government
Phishing,DMARC,Finance
DDoS,DDoS Mitigation,Government
Malware,EDR,Manufacturing
Ransomware,EDR,Energy
Cross-Site Scripting,Content Security Policy,Government
DDoS,Firewall,Government
Phishing,Email Filtering,Manufacturing
DDoS,Firewall,Healthcare
Brute Force,MFA,Healthcare
Phishing,MFA,Retail
DDoS,Firewall,Healthcare
Phishing,DMARC,Manufacturing
DDoS,CDN Scrubbing,Finance
Phishing,MFA,Technology
Ransomware,EDR,Technology
Phishing,Email Filtering,Government
Phishing,DMARC,Healthcare
Cross-Site Scripting,Content Security Policy,Education
Ransomware,Antivirus,Retail
Phishing,MFA,Energy
Credential Stuffing,SIEM,Technology
Brute Force,Account Lockout,Finance
Brute Force,MFA,Government
Brute Force,MFA,Manufacturing
Phishing,DMARC,Technology
Brute Force,Account Lockout,Manufacturing
Ransomware,Offline Backups,Energy
Phishing,MFA,Utilities
Business Email Compromise,DMARC,Education
Malware,SIEM,Education
Phishing,DMARC,Technology
Ransomware,Offline Backups,Finance
Phishing,DMARC,Technology
Zero-Day Exploit,IDS,Technology
DDoS,DDoS Mitigation,Manufacturing
Business Email Compromise,Email Filtering,Finance
Brute Force,Account Lockout,Energy
Phishing,SIEM,Technology
Ransomware,EDR,Energy
Ransomware,Antivirus,Technology
Phishing,Email Filtering,Retail
Cross-Site Scripting,SIEM,Manufacturing
Ransomware,Antivirus,Retail
Ransomware,EDR,Healthcare
Credential Stuffing,MFA,Energy
SQL Injection,WAF,Manufacturing
Ransomware,EDR,Manufacturing
Cross-Site Scripting,Content Security Policy,Energy
Ransomware,Offline Backups,Technology
Credential Stuffing,IDS,Healthcare
DDoS,CDN Scrubbing,Manufacturing
Malware,EDR,Technology
Zero-Day Exploit,IDS,Government
Brute Force,Account Lockout,Finance
Brute Force,Account Lockout,Manufacturing
Phishing,Email Filtering,Technology
Credential Stuffing,MFA,Healthcare
Credential Stuffing,Account Lockout,Manufacturing
Ransomware,Offline Backups,Technology
Phishing,MFA,Manufacturing
Ransomware,SIEM,Retail
Phishing,Email Filtering,Healthcare
Ransomware,EDR,Healthcare
Phishing,MFA,Manufacturing
Phishing,SIEM,Government
Phishing,Email Filtering,Education
Business Email Compromise,Email Filtering,Manufacturing
Phishing,MFA,Finance
Credential Stuffing,Account Lockout,Education
Malware,Antivirus,Transportation
Malware,EDR,Manufacturing
Ransomware,EDR,Finance
Credential Stuffing,Account Lockout,Finance
Business Email Compromise,Email Filtering,Technology
